id,title,price,city,promo_price,url
3599874,Конструктор магнитный Attivio 104детали TY620,4999,Санкт-Петербург,2999,https://www.detmir.ru/product/index/id/3599874/
3119810,Конструктор SLUBAN Битва за город 2 1001деталь M38-B0697,4999,Санкт-Петербург,3499,https://www.detmir.ru/product/index/id/3119810/
3596921,Конструктор LEGO City Wildlife 60302,10189,Санкт-Петербург,7999,https://www.detmir.ru/product/index/id/3596921/
3193108,Конструктор LEGO Disney Frozen Волшебный ледяной замок Эльзы 43172,7789,Санкт-Петербург,,https://www.detmir.ru/product/index/id/3193108/
3366409,Конструктор BAUER Весёлые горки 583,1399,Санкт-Петербург,1089,https://www.detmir.ru/product/index/id/3366409/
3405528,Конструктор LEGO DUPLO My First Пожарный вертолет и полицейский автомобиль 10957,949,Санкт-Петербург,849,https://www.detmir.ru/product/index/id/3405528/
3186812,Конструктор SLUBAN Розовая мечта Вилла M38-B0721,5999,Санкт-Петербург,3599,https://www.detmir.ru/product/index/id/3186812/
4058545,Конструктор LEGO Disney Princess 43200,2029,Санкт-Петербург,,https://www.detmir.ru/product/index/id/4058545/
3405526,Конструктор LEGO DUPLO My First Единорог 10953,949,Санкт-Петербург,659,https://www.detmir.ru/product/index/id/3405526/
3405614,Конструктор LEGO Super Mario дополнительный набор загадочное испытание растения-пираньи 71382,3229,Санкт-Петербург,2099,https://www.detmir.ru/product/index/id/3405614/
3405544,Конструктор LEGO Disney Princess Королевская карета Золушки 43192,4309,Санкт-Петербург,3869,https://www.detmir.ru/product/index/id/3405544/
3599858,Конструктор магнитный Attivio 46деталей TY609,2499,Санкт-Петербург,1999,https://www.detmir.ru/product/index/id/3599858/
3599862,Конструктор магнитный Attivio 36 деталей TY607,3399,Санкт-Петербург,2199,https://www.detmir.ru/product/index/id/3599862/
3596756,Конструктор LEGO DUPLO Town Гоночные машины 10947,5389,Санкт-Петербург,3769,https://www.detmir.ru/product/index/id/3596756/
3608780,Конструктор SLUBAN ИСУ-152 M38-B0979,4999,Санкт-Петербург,2999,https://www.detmir.ru/product/index/id/3608780/
